Date,Plot,Volume,NPOC,NPOC dilution,NPOC ug,TN,TN dilution,TN ug,
,,mL,ug/mL,ug/mL,ug,ug/mL,ug/mL,ug,
27-Mar-18,5,1500,4.309,8.618,12927,0.5489,1.0978,1646.7,
27-Mar-18,6,1330,4.962,9.924,13198.92,1.077,2.154,2864.82,
10-Apr-18,1,30,7.743,15.486,464.58,1.719,3.438,103.14,
10-Apr-18,2,490,3.336,6.672,3269.28,0.5142,1.0284,503.916,
10-Apr-18,3,240,3.07,6.14,1473.6,0.6946,1.3892,333.408,
10-Apr-18,4,150,8.043,16.086,2412.9,1.418,2.836,425.4,
10-Apr-18,5,370,4.244,8.488,3140.56,0.299,0.598,221.26,
10-Apr-18,6,340,4.898,9.796,3330.64,1.353,2.706,920.04,
24-Apr-18,1,1530,2.565,5.13,7848.9,0.3701,0.7402,1132.506,
24-Apr-18,2,2580,2.427,4.854,12523.32,0.3626,0.7252,1871.016,
24-Apr-18,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
24-Apr-18,4,3240,4.782,9.564,30987.36,0.3632,0.7264,2353.536,
24-Apr-18,5,2000,1.986,3.972,7944,0.1292,0.2584,516.8,
24-Apr-18,6,2650,2.329,4.658,12343.7,0.3762,0.7524,1993.86,
8-May-18,1,2790,2.866,5.732,15992.28,0.237,0.474,1322.46,
8-May-18,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8-May-18,3,6760,2.801,5.602,37869.52,0.2697,0.5394,3646.344,
8-May-18,4,285,6.494,12.988,3701.58,0.4452,0.8904,253.764,
8-May-18,5,1800,2.42,4.84,8712,0.1596,0.3192,574.56,
8-May-18,6,4680,1.54,3.08,14414.4,0.2184,0.4368,2044.224,
22-May-18,1,240,2.621,5.242,1258.08,0.3516,0.7032,168.768,
22-May-18,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
22-May-18,3,65,9.817,19.634,1276.21,1.664,3.328,216.32,
22-May-18,4,320,6.262,12.524,4007.68,0.419,0.838,268.16,
22-May-18,5,1040,3.817,7.634,7939.36,0.2696,0.5392,560.768,
