Date,Plot,NPOC ug,TDN ug,PO4-P ug,NO3-N ug,NH4-N ug,comments,
12/17/19,1,1332,322.8,23.6041044,286.2015871,BDL,,
12/17/19,2,6484.5,761.97,26.4265595,307.2460354,BDL,,
12/17/19,3,2350,1094.2,5.690156,1217.298315,7.342344,,
12/17/19,4,7170.24,845.416,20.14474,320.4664456,BDL,,
12/17/19,5,11739.2,1750.44,28.942754,1482.936146,BDL,,
12/17/19,6,2953.2,598.46,12.1402648,509.5211966,BDL,,
12/31/19,1,8060.52,855.036,23.8271592,376.8104528,BDL,,
12/31/19,2,5509.9,741.07,26.766278,654.9833538,552.538272,,
12/31/19,3,13324.8,5297.92,74.761952,5929.101288,224.1411072,,
12/31/19,4,16460.64,1801.554,93.5719437,879.1050708,363.6339408,,
12/31/19,5,17636.4,3142.8,98.2193715,3028.38557,BDL,,
12/31/19,6,11052.48,1192.248,31.5919272,518.4166281,74.8990656,,
1/14/20,1,6476.72,1088.016,42.4628036,745.4222785,BDL,,
1/14/20,2,5480.4,895.08,45.506064,691.5552121,BDL,,
1/14/20,3,9576,2442.6,17.267157,2404.550244,BDL,,
1/14/20,4,8676.8,993.872,34.4916176,396.8907274,BDL,,
1/14/20,5,18954,2816,47.22473,2154.257618,2656.50312,,
1/14/20,6,9633.72,990.204,23.0837932,552.5037446,BDL,,
1/28/20,1,55014,4540.904,147.2755228,1853.566246,BDL,,
1/28/20,2,23638.4,2880.1,100.2849575,1974.764529,BDL,,
1/28/20,3,36246,6294.12,95.440044,11090.53478,87.641568,,
1/28/20,4,22290.1,3185.49,81.903745,1748.922533,44.521008,,
1/28/20,5,19043.46,2098.362,53.2328439,1441.315998,141.9093936,,
1/28/20,6,7706.46,1022.378,30.4037357,652.1272043,1164.117701,,
2/11/20,1,714,213.36,7.1128476,198.861893,15.78,,
2/11/20,2,1454.1,513.6,11.677989,318.4607905,2.55,,
2/11/20,3,N/A,N/A,0.3715906,33.06277776,10.25,,
2/11/20,4,2250.4,422,8.973908,197.0556618,9.8,,
2/11/20,5,2666.16,520.2,15.093054,296.8277578,386.46,,
2/11/20,6,3115.86,1596.54,15.0896658,1024.147752,1754.94,,
2/25/20,1,3996.44,437.178,20.8316444,89.8712082,BDL,,
2/25/20,2,7705.98,1366.728,33.163614,626.4607217,BDL,,
2/25/20,3,10576.5,1992.1,24.207051,1165.978831,7.7,,
2/25/20,4,13261.6,1602.766,27.59889,496.6707407,19.36,,
2/25/20,5,10831.04,928.2,31.2394992,269.8143539,BDL,,
2/25/20,6,16270.8,1607.58,76.636677,560.2327358,BDL,,
3/10/20,1,4018.56,347.208,23.792718,97.53220982,33.12,,
3/10/20,2,6149.22,897.974,20.2016276,353.9046346,84.7,,
3/10/20,3,3780,1247.12,11.589116,996.6652203,579.46,,
3/10/20,4,6473.96,705.164,26.1485576,246.3721933,BDL,,
3/10/20,5,8223.2,586.872,42.6877712,133.7583615,242.06,,
