basket.id,category,date,method,weight,wt.kg.ha,wt.Mg.ha
LB05,leaves,12/05/2017,bb.sample.wt,0.102,5.268595041,0.005268595
LB06,leaves,12/05/2017,bb.sample.wt,0.221,11.41528926,0.011415289
LB07,leaves,12/05/2017,bb.sample.wt,0.122,6.301652893,0.006301653
LB08,leaves,12/05/2017,bb.sample.wt,0.006,0.309917355,0.000309917
LB09,leaves,12/05/2017,bb.sample.wt,0.287,14.82438017,0.01482438
LB10,leaves,12/05/2017,bb.sample.wt,0.039,2.01446281,0.002014463
LB11,leaves,12/05/2017,bb.sample.wt,-0.002,-0.103305785,-0.000103306
LB12,leaves,12/05/2017,bb.sample.wt,0.014,0.723140496,0.00072314
LB13,leaves,12/05/2017,bb.sample.wt,0.077,3.977272727,0.003977273
LB14,leaves,12/05/2017,bb.sample.wt,0.43,22.2107438,0.022210744
LB15,leaves,12/05/2017,bb.sample.wt,0.585,30.21694215,0.030216942
LB16,leaves,12/05/2017,bb.sample.wt,0.373,19.26652893,0.019266529
LB17,leaves,12/05/2017,bb.sample.wt,0.046,2.376033058,0.002376033
LB18,leaves,12/05/2017,bb.sample.wt,0.197,10.17561983,0.01017562
LB19,leaves,12/05/2017,bb.sample.wt,-0.014,-0.723140496,-0.00072314
LB20,leaves,12/05/2017,bb.sample.wt,0.03,1.549586777,0.001549587
LB01,leaves,12/19/2017,bb.sample.wt,0.143,7.386363636,0.007386364
LB02,leaves,12/19/2017,bb.sample.wt,0.047,2.42768595,0.002427686
LB03,leaves,12/19/2017,bb.sample.wt,0.602,31.09504132,0.031095041
LB04,leaves,12/19/2017,bb.sample.wt,0.337,17.40702479,0.017407025
LB05,leaves,12/19/2017,bb.sample.wt,0.098,5.061983471,0.005061983
LB06,leaves,12/19/2017,bb.sample.wt,-0.025,-1.291322314,-0.001291322
LB07,leaves,12/19/2017,bb.sample.wt,0.083,4.287190083,0.00428719
LB08,leaves,12/19/2017,bb.sample.wt,-0.063,-3.254132231,-0.003254132
LB09,leaves,12/19/2017,bb.sample.wt,0.363,18.75,0.01875
LB10,leaves,12/19/2017,bb.sample.wt,-0.133,-6.869834711,-0.006869835
LB11,leaves,12/19/2017,bb.sample.wt,0.323,16.6838843,0.016683884
LB12,leaves,12/19/2017,bb.sample.wt,-0.035,-1.80785124,-0.001807851
LB13,leaves,12/19/2017,bb.sample.wt,0.031,1.601239669,0.00160124
LB14,leaves,12/19/2017,bb.sample.wt,0.003,0.154958678,0.000154959
LB15,leaves,12/19/2017,bb.sample.wt,-0.013,-0.671487603,-0.000671488
LB16,leaves,12/19/2017,bb.sample.wt,0.264,13.63636364,0.013636364
LB17,leaves,12/19/2017,bb.sample.wt,0.28,14.46280992,0.01446281
LB18,leaves,12/19/2017,bb.sample.wt,0.091,4.700413223,0.004700413
LB19,leaves,12/19/2017,bb.sample.wt,-0.049,-2.530991736,-0.002530992
LB20,leaves,12/19/2017,bb.sample.wt,0.867,44.78305785,0.044783058
LB01,leaves,01/02/2018,bb.sample.wt,0.142,7.334710744,0.007334711
LB02,leaves,01/02/2018,bb.sample.wt,0.381,19.67975207,0.019679752
LB03,leaves,01/02/2018,bb.sample.wt,0.191,9.865702479,0.009865702
LB04,leaves,01/02/2018,bb.sample.wt,0.945,48.81198347,0.048811983
