date,plot,installed_resin,nh4_ugN.day_resin,no3_ugN.day_resin
2020-09-02,2,2020-05-28,0.016494845,1.530457955
2020-09-02,3,2020-05-28,0,2.754584596
2020-09-02,3,2020-05-28,0.368659794,9.907908774
2020-09-02,3,2020-05-28,0.490721649,7.630029811
2020-09-02,4,2020-05-28,0.459381443,0.36317983
2020-09-02,4,2020-05-28,0.04371134,1.593813229
2020-09-02,4,2020-05-28,0.59628866,8.024031126
2020-09-02,5,2020-05-28,0,0.834919779
2020-09-02,5,2020-05-28,0.048659794,1.245187989
2020-09-02,5,2020-05-28,0.748041237,2.380103554
2020-09-02,6,2020-05-28,0.081649485,0.839885463
2020-09-02,6,2020-05-28,0.028865979,4.541374566
2020-09-02,6,2020-05-28,0.13443299,18.31789338
,Blank,,,
,Blank,,,
2020-12-02,1,2020-09-02,0,2.307240285
2020-12-02,1,2020-09-02,0.128351648,2.383168768
2020-12-02,1,2020-09-02,0,1.401574096
2020-12-02,2,2020-09-02,8.79121e-4,5.29363895
2020-12-02,2,2020-09-02,0.19956044,3.522096019
2020-12-02,2,2020-09-02,0.057142857,1.434427766
2020-12-02,3,2020-09-02,0.085274725,9.308357509
2020-12-02,3,2020-09-02,0.047472527,5.755050503
2020-12-02,3,2020-09-02,0.023736264,10.86708166
2020-12-02,4,2020-09-02,0.356923077,0.575486798
2020-12-02,4,2020-09-02,0.195164835,21.53904903
2020-12-02,4,2020-09-02,0.158241758,20.05625336
2020-12-02,5,2020-09-02,0.036043956,2.692540834
2020-12-02,5,2020-09-02,0.224175824,28.76138097
2020-12-02,5,2020-09-02,0.553846154,10.45933111
2020-12-02,6,2020-09-02,0.523076923,5.996890024
2020-12-02,6,2020-09-02,0.118681319,6.575844709
2020-12-02,6,2020-09-02,0.092307692,5.447321121
,Blank,,,
,Blank,,,
2021-03-01,1,2020-12-02,0.160898876,4.999778699
2021-03-01,1,2020-12-02,0.221123596,3.056050663
2021-03-01,1,2020-12-02,0.222921348,5.08820111
2021-03-01,2,2020-12-02,0.061123596,3.114346854
2021-03-01,2,2020-12-02,0.256179775,6.463639096
2021-03-01,2,2020-12-02,1.79505618,1.895604335
2021-03-01,3,2020-12-02,0.189662921,2.991885728
2021-03-01,3,2020-12-02,0.127640449,5.44952012
2021-03-01,3,2020-12-02,0.299325843,5.979663335
2021-03-01,4,2020-12-02,0.268764045,1.602362756
2021-03-01,4,2020-12-02,0.218426966,5.835096606
2021-03-01,4,2020-12-02,0.156404494,10.89904024
2021-03-01,5,2020-12-02,0.246292135,3.795121166
2021-03-01,5,2020-12-02,1.230561798,0.0985949
2021-03-01,5,2020-12-02,0.485393258,6.112101326
2021-03-01,6,2020-12-02,5.20988764,4.859320091
2021-03-01,6,2020-12-02,0.16988764,1.692741415
2021-03-01,6,2020-12-02,0.504269663,8.294687246
,Blank,,,
,Blank,,,
2021-06-04,1,2021-03-01,0.302315789,6.713713488
2021-06-04,1,2021-03-01,0.32,2.949723435
2021-06-04,1,2021-03-01,0.521263158,2.413476726
2021-06-04,2,2021-03-01,0.206315789,1.988474636
2021-06-04,2,2021-03-01,0.176842105,4.958724261
2021-06-04,2,2021-03-01,1.414736842,3.737782507
2021-06-04,3,2021-03-01,0.142315789,3.220595832
2021-06-04,3,2021-03-01,0.171789474,1.755172497
