"","treatment","hurricane","session","date","plot","dlen.mm.cm2.day","mortLength.mm.cm2.day","len.mm.cm2","prodSA.m2.m2.day","morSA.m2.m2.day","SA.m2.m2","stock.newRMLg.m2","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","lndlen.mm.cm2.day","lnmortLength.mm.cm2.day","lnlen.mm.cm2","lnprodSA.m2.m2.day","lnmorSA.m2.m2.day","lnSA.m2.m2","lnstock.newRMLg.m2","lnprod2.newRMLg.m2.day","lnmort.newRMLg.m2.day"
"96","Control","after",33,2018-06-27,3,51.9170038156287,57.6340120137797,8340.55769104306,0.210338806475244,0.477344388345413,85.2896560968894,1446.95812704719,13.0278201056274,6.49767725194351,3.56961079204094,3.31598571434309,8.78160150603503,-1.93177686848871,-1.53632044173437,4.18869842232422,7.09783597710713,2.03493747100477,0.840728648642139
"110","Warming","after",15,2017-09-21,4,2.01428161825577,1.174022063852,670.683949357524,0.024578129450791,0.0209130292610685,14.1212686255327,627.163219088175,0.792451623994535,0.53255368727729,0.700312259095427,0.160520688617822,6.50829816074078,-3.70183787492465,-3.8626125926494,2.64768915552174,6.44120698372931,-0.232497634665153,-0.629883808434501
"111","Warming","after",16,2017-10-20,4,4.63041156966492,1.48863020408164,717.810669841272,0.0248676372023615,0.0238749133188129,14.6434674246226,655.181694959721,2.42269634129902,0.494281972681569,1.53266735220295,0.397923544592512,6.57620598255925,-3.69017480462381,-3.73074727370143,2.68400115539412,6.48491274668233,0.884922386010842,-0.704446836526165
"112","Warming","after",17,2017-11-05,4,12.401863920383,0,941.044220408166,0.090000610827781,0,16.3351643909712,676.76983012026,2.64049840439697,0,2.51785484074614,-9.21034037197618,6.84699023774103,-2.40682833494819,-9.21034037197618,2.79332623047278,6.51733137781365,0.971005559805025,-9.21034037197618
"113","Warming","after",18,2017-11-22,4,10.0216273217435,5.64408062484255,1006.70742086168,0.071880638071616,0.0545224224101532,16.7872918229382,680.262576760968,2.33815770379045,0.724655230588927,2.30475546819927,1.73062503646263,6.91444040451474,-2.63135811180238,-2.90731081367921,2.8206281179232,6.52247901293399,0.84940608100921,-0.321921294112346
"114","Warming","after",19,2017-12-05,4,69.3318327344615,13.7854242688529,1728.8107309146,0.493393750868868,0.122961042750728,21.6796168271421,735.139593662375,13.2453774729652,1.45382670639488,4.2389055898839,2.62361907558811,7.45518907016298,-0.706245083068476,-2.09507476419092,3.07637711500746,6.60006054055843,2.58365617137327,0.37426796958417
"115","Warming","after",20,2017-12-20,4,9.06128451499121,3.53050113378686,1737.68326953893,0.0676858422222259,0.0303759445081892,20.582576178914,652.780674204152,2.00597101579018,0.296633410291316,2.20402192460387,1.26146814930449,7.46030810829565,-2.69140192262238,-3.49081761120945,3.02444975979982,6.4812413519358,0.69617809060314,-1.21492115171788
"116","Warming","after",21,2018-01-03,4,6.5254898283123,0,1829.04012713531,0.0598581640182211,0,21.4205904751691,662.059798311713,1.66763833570442,0,1.87573134426701,-9.21034037197618,7.51154664220876,-2.81410822632627,-9.21034037197618,3.06435729956865,6.49535603267727,0.5114684185518,-9.21034037197618
"117","Warming","after",22,2018-01-18,4,6.39361222474177,2.36966238347192,1889.39937475435,0.0743861769221061,0.0194463814948074,22.248988407239,678.777742820852,2.42160823023439,0.190949362509921,1.85531504254657,0.862789689982226,7.54401431933899,-2.59714171548188,-3.93496509946166,3.10230103731177,6.52029389113735,0.884473171414444,-1.65522344186569
"118","Warming","after",23,2018-01-31,4,27.1403155997443,4.11472428629573,2188.73206182919,0.367916719620171,0.172952403337521,24.7835245189134,621.56388438241,12.4797630104896,11.4544085249355,3.30102396747092,1.41459613243865,7.69107773363158,-0.999626908094822,-1.75416082088673,3.21018313341907,6.4322388571921,2.52411638615744,2.43838341013434
"119","Warming","after",24,2018-02-15,4,15.2210623028471,0.892027674477201,2403.66758125473,0.133338698381521,0.00532249067603917,27.4475595175521,666.306122395209,5.866125104624,0.0334097878209754,2.72268671632767,-0.114146023822678,7.78475105034871,-2.0141130947544,-5.21720003475957,3.31228090084325,6.501749358254,1.76921134428608,-3.3959177090651
"120","Warming","after",25,2018-02-27,4,101.310706122449,7.62537762660622,3340.52086621316,0.70309662857157,0.0551583133614034,35.4180419027974,763.938963120436,23.9455860064706,0.493362006652467,4.61819308002188,2.03149496008661,8.11388205171559,-0.352118727031693,-2.89573648182376,3.56722417199497,6.63848802567193,3.17578818264168,-0.706309410605288
"121","Warming","after",26,2018-03-16,4,12.3759468065004,11.6546480221719,3308.00964535149,0.0608601748988956,0.0746953266269751,35.5607539455492,780.820494226992,2.90961042414734,0.602292412686262,2.51576289530146,2.45571365253474,8.10410200213425,-2.79753449853149,-2.59299987420255,3.57124542457416,6.66034541055406,1.0680535656296,-0.5068461977181
"122","Warming","after",27,2018-04-04,4,16.2327545405464,11.0017416585682,3381.24382569918,0.0691595190654449,0.0774599512173003,36.1661991912248,790.365565673939,3.22784032987642,0.628857979780245,2.78703724656327,2.39806268229082,8.12599894612713,-2.66989468393256,-2.55670407757513,3.58812772364949,6.67249570631244,1.17184426506845,-0.463690829314119
"123","Warming","after",28,2018-04-18,4,17.842334553504,8.01314861246088,3518.85242887379,0.250867782278215,0.126752907114612,38.4355478286428,833.772057474993,10.4568226087911,3.36722480384688,2.88157958384481,2.08109624845477,8.16589022933172,-1.38243070554619,-2.06472707546503,3.64898535783383,6.72596017255886,2.34726420968929,1.2141186023653
"124","Warming","after",29,2018-05-02,4,12.1054487528345,4.16312880898392,3630.04490808769,0.106142553263726,0.0257119715981967,39.7889965362095,855.178577125626,3.67189812533042,0.179718189711356,2.49366392210391,1.42629092922562,8.19700032610426,-2.24203056056345,-3.65691687924245,3.68359291838084,6.75131042619797,1.30073596222718,-1.71580899570255
"125","Warming","after",30,2018-05-16,4,14.7011130115539,2.8705898607062,3347.4221537415,0.228278344884151,0.03272298657778,35.7245931585661,760.767487606782,8.64897527395063,0.448674976309975,2.68793000817306,1.05455237047143,8.11594585212505,-1.47675161793626,-3.41662619874673,3.57584213479559,6.63432790728314,2.15745241048348,-0.801233683213206
"126","Warming","after",31,2018-05-30,4,73.8552902494334,22.9800304718714,4059.67579062737,0.674992452907366,0.298513158755979,41.1809979406053,817.596573616468,20.9335211774769,6.83994105706232,4.30210899547337,3.13462995003162,8.30885841951447,-0.392905630218596,-1.20860632667663,3.71797936323075,6.70636915096815,3.04135653522792,1.92279373411093
"127","Warming","after",32,2018-06-14,4,25.967719798438,4.18085208364829,4386.47880634923,0.2242454038832,0.0624026645916975,45.0619671928883,922.207421118052,11.6439234752572,1.20850875812442,3.25685807137809,1.43053899180847,8.38628211279117,-1.49456843313861,-2.7725460896814,3.80804081040295,6.82677027536508,2.45479304196321,0.189469911422805
"128","Warming","after",33,2018-06-27,4,17.9896128495843,0,4620.34377339382,0.0929421952717637,0,47.0606244706399,946.087316083047,4.32794175212597,0,2.88980008616659,-9.21034037197618,8.43822441277642,-2.37470217612571,-9.21034037197618,3.85143877779695,6.85233497079016,1.46511518847685,-9.21034037197618
"142","Control","after",15,2017-09-21,5,4.4862839420689,20.1083797875499,491.903383333334,0.0563605326861124,0.277504965677203,11.8397306827142,974.996582135193,2.0307333138233,6.06041877208771,1.50104701916526,3.0011416060763,6.19828252516133,-2.87421342144904,-1.2815561626233,2.47146932890717,6.88243406805379,0.708446208242202,1.80179540237231
"143","Control","after",16,2017-10-20,5,7.5901423015873,4.63275778155707,536.264151133786,0.101620005204362,0.0580377840936819,12.6449451599279,993.122064852705,3.93050332091842,1.14560852526205,2.02686351469078,1.53317390912698,6.28462704542996,-2.28553128726461,-2.8449394978615,2.53726545148193,6.90085368251304,1.36879293087181,0.136023244984334
"144","Control","after",17,2017-11-05,5,8.84756889329806,4.38973823381204,616.505103004535,0.0930865300678843,0.0956716404012809,12.6822699040657,940.024469960389,2.97081730614715,4.32864771470131,2.18015402243624,1.47929237761818,6.42406676215441,-2.37315209490427,-2.34578866704481,2.54021283249683,6.84590601317818,1.08887076241662,1.46527828879934
"145","Control","after",18,2017-11-22,5,12.5890108049887,2.93456657974301,761.32176638322,0.184955008774052,0.0372784279526175,15.0808070508835,998.313469582024,7.18548242609652,0.724501864434204,2.53283221847616,1.0765938453765,6.63505622032609,-1.68710215337739,-3.28666153368132,2.71342951003375,6.9060674249396,1.972076577637,-0.32213292747147
"146","Control","after",19,2017-12-05,5,7.72030475754404,0,861.685728231292,0.0780935292302018,0,16.1072366033577,1012.29446492513,2.35622467766784,0,2.04386679239598,-9.21034037197618,6.75889073581977,-2.5485683812714,-9.21034037197618,2.77927485784497,6.91997487955456,0.85710306515189,-9.21034037197618
"147","Control","after",20,2017-12-20,5,37.2181879251701,8.41880702191988,1293.67644178004,0.604145024309012,0.292955896918747,21.2180126038186,655.206715429475,23.7878913386376,39.7895969786705,3.61680025136973,2.13048001245559,7.16524347610122,-0.503775493923119,-1.22739191369349,3.05485518501794,6.4849509345444,3.16918088773791,3.68360800889515
"148","Control","after",21,2018-01-03,5,39.1405609369939,7.48303430515063,1736.88181462585,0.460909200503511,0.0898575907192538,27.3689725724252,772.107077381114,17.8659324270256,1.61084407568448,3.66716184830961,2.01265172897279,7.45984678156166,-0.774337278476375,-2.4084169339387,3.30941363765661,6.64912337119322,2.88290128029118,0.476820389554104
